№,Название,Цена
1,подставка под ель 350мм зеленый,489₽/шт.
2,подставка под ель 390мм зеленый,879₽/шт.
3,ветка новогодняя Еловая с пуансеттией 25см,115₽/шт.
4,гирлянда еловая 270х24см зеленая,949₽/шт.
5,ель искусственная Декоративная 100см зеленый,1 759₽/шт.
6,ель искусственная Валерио Премиум 150см,14 299₽/шт.
7,ель искусственная Валерио Премиум 180см,19 299₽/шт.
8,ель искусственная Барокко Премиум 180см,18 999₽/шт.
9,ель искусственная Грацио Премиум 150см,16 999₽/шт.
10,ель искусственная Лесная Сказка заснеженная 120см,7 799₽/шт.
11,ель искусственная Лесная Сказка заснеженная 150см,12 399₽/шт.
12,ель искусственная Лесная Сказка заснеженная 180см,16 399₽/шт.
13,ель искусственная Снежная 150см,6 199₽/шт.
14,ель искусственная Снежная 180см,8 799₽/шт.
15,ель искусственная Снежная 210см,11 260₽/шт.
16,ветка новогодняя 28см с красными ягодами,159₽/шт.
17,ветка новогодняя 21см с ягодами и шишками,129₽/шт.
18,растение искусственное Ветка новогодняя с шишкой 20см,129₽/шт.
19,ветка новогодняя Красные шары 56см,229₽/шт.
20,"гирлянда еловая MAXIJOY 200см с шишками, шарами, ягодами",2 449₽/шт.
21,гирлянда еловая 270см с шишками ягодами,2 590₽/шт.
22,ель искусственная Елочка 35см пластик,619₽/шт.
23,ель искусственная ICE TIFFANY 30см,1 319₽/шт.
24,ель искусственная Фея заснеженная 60см с шишками,2 999₽/шт.
25,"ель искусственная Агния 1,8м зелёная",10 999₽/шт.
26,венок новогодний MAXIJOY 55см с красными ягодами,2 790₽/шт.
27,венок новогодний MAXIJOY 55см еловый с шишками,2 790₽/шт.
28,венок новогодний MAXIJOY 45см с шишками,1 590₽/шт.
29,венок новогодний MAXIJOY еловый зелёный 50см,1 490₽/шт.
30,венок новогодний MAXIJOY 35см с шишками зеленый,499₽/шт.
31,венок новогодний 30см заснеженный с шишками и ягодами,709₽/шт.
32,венок новогодний MAXIJOY 45см с ягодами и листьями,1 490₽/шт.
33,венок новогодний MAXIJOY 50см заснеженный с шишками,1 590₽/шт.
34,венок новогодний MAXIJOY 36см с ягодами,469₽/шт.
35,венок новогодний MAXIJOY 49см с шишками и ягодами,399₽/шт.
36,венок новогодний MAXIJOY 34см с ягодами,599₽/шт.
37,венок новогодний MAXIJOY 40см с ягодами и листьями,449₽/шт.
38,венок новогодний MAXIJOY 15см с ягодами и листьями,349₽/шт.
39,венок новогодний MAXIJOY 40см зеленый,819₽/шт.
40,венок новогодний MAXIJOY 45см с красными ягодами,990₽/шт.
41,ветка новогодняя MAXIJOY с белыми ягодами 36см,289₽/шт.
42,ветка новогодняя MAXIJOY еловая заснеженная 60см,629₽/шт.
43,ветка новогодняя MAXIJOY еловая заснеженная 30см,359₽/шт.
44,ветка новогодняя MAXIJOY еловая с пуансеттией заснеженная 50см,339₽/шт.
45,ветка новогодняя MAXIJOY еловая 25см,99₽/шт.
46,ветка новогодняя MAXIJOY ягоды красные 36см,289₽/шт.
47,ветка новогодняя MAXIJOY еловая с ягодами и шишками 78см,669₽/шт.
48,ветка новогодняя MAXIJOY еловая с ягодами и шишками 48см,629₽/шт.
49,ветка новогодняя MAXIJOY еловая с ягодами и шишками 50см,339₽/шт.
50,ветка новогодняя MAXIJOY еловая с ягодами и шишками 42см,339₽/шт.
51,ветка новогодняя MAXIJOY еловая с пуансетией 70см,729₽/шт.
52,ветка новогодняя MAXIJOY еловая с красными цветами 40см,389₽/шт.
53,ветка новогодняя MAXIJOY с листьями 40см,339₽/шт.
54,ветка новогодняя MAXIJOY еловая с шишками 33см,199₽/шт.
55,ветка новогодняя 67см заснеженная с шишками,579₽/шт.
56,ветка новогодняя Снежная звезда с жемчужинами 16см,229₽/шт.
57,ветка новогодняя MAXIJOY Еловая 55см,359₽/шт.
58,ветка новогодняя MAXIJOY Еловая с ягодами и шишкой 33см,129₽/шт.
59,ветка новогодняя MAXIJOY Еловая с ягодами и шишкой 33см,99₽/шт.
60,ветка новогодняя MAXIJOY Ягоды красные 24см,99₽/шт.
